ts,bpm,source,confidence,device
1763030694171,64,watch_live,,watch
1763030725999,75,watch_live,,watch
1763030731043,71,watch_live,,watch
1763637145237,70,watch_live,,watch
1763637150193,66,watch_live,,watch
1763637155182,66,watch_live,,watch
1763637158644,66,watch_live,,watch
1763637165183,65,watch_live,,watch
1763637168890,64,watch_live,,watch
1763637179123,72,watch_live,,watch
1763637184267,85,watch_live,,watch
1763637189349,93,watch_live,,watch
1763637194466,93,watch_live,,watch
1763637199588,72,watch_live,,watch
1763637209506,71,watch_live,,watch
1763637214963,93,watch_live,,watch
1763637219489,94,watch_live,,watch
1763637224546,78,watch_live,,watch
1763637229490,71,watch_live,,watch
1763637235173,66,watch_live,,watch
1763637240172,67,watch_live,,watch
1763637245120,65,watch_live,,watch
1763637249492,66,watch_live,,watch
1763637254492,70,watch_live,,watch
1763637259487,72,watch_live,,watch
1763637263573,78,watch_live,,watch
1763637268700,74,watch_live,,watch
1763637365537,65,watch_live,,watch
1763637370964,64,watch_live,,watch
1763637375484,64,watch_live,,watch
1763637381085,67,watch_live,,watch
1763637385491,66,watch_live,,watch
1763637390500,66,watch_live,,watch
1763637395490,64,watch_live,,watch
1763637455490,63,watch_live,,watch
1763637460486,63,watch_live,,watch
1763637465480,63,watch_live,,watch
1763637470884,69,watch_live,,watch
1763637476003,68,watch_live,,watch
1763637480987,68,watch_live,,watch
1763637485529,67,watch_live,,watch
1763637490495,67,watch_live,,watch
1763637495542,65,watch_live,,watch
1763637500978,60,watch_live,,watch
1763637506024,61,watch_live,,watch
1763637510490,61,watch_live,,watch
1763637515517,62,watch_live,,watch
1763637521026,64,watch_live,,watch
1763637524595,64,watch_live,,watch
1763637529708,64,watch_live,,watch
1763637534816,65,watch_live,,watch
1763637545052,67,watch_live,,watch
1763637550168,71,watch_live,,watch
1763637555312,66,watch_live,,watch
1763637560414,67,watch_live,,watch
1763637565475,67,watch_live,,watch
1763637565475,67,watch_live,,watch
1763637570634,66,watch_live,,watch
1763637575513,66,watch_live,,watch
1763637580863,62,watch_live,,watch
1763637585986,61,watch_live,,watch
1763637590990,61,watch_live,,watch
1763637595480,61,watch_live,,watch
1763637601033,65,watch_live,,watch
1763637605495,65,watch_live,,watch
1763637610485,63,watch_live,,watch
1763637616041,63,watch_live,,watch
1763637620485,64,watch_live,,watch
1763637625486,64,watch_live,,watch
1763637629512,64,watch_live,,watch
1763637636032,66,watch_live,,watch
1763637639737,65,watch_live,,watch
1763637645945,67,watch_live,,watch
1763637649989,66,watch_live,,watch
1763637660238,68,watch_live,,watch
1763637665337,70,watch_live,,watch
1763637675572,64,watch_live,,watch
1763637680485,64,watch_live,,watch
1763637685500,64,watch_live,,watch
1763637696036,65,watch_live,,watch
1763637700486,64,watch_live,,watch
1763637705498,64,watch_live,,watch
1763637711038,66,watch_live,,watch
1763637716033,66,watch_live,,watch
1763637720543,67,watch_live,,watch
1763637726432,65,watch_live,,watch
1763637730528,65,watch_live,,watch
1763637736029,67,watch_live,,watch
1763637741040,67,watch_live,,watch
1763637746031,67,watch_live,,watch
1763637749798,67,watch_live,,watch
1763637754923,67,watch_live,,watch
1763637760027,73,watch_live,,watch
1763637765121,77,watch_live,,watch
1763637770262,75,watch_live,,watch
1763637775359,74,watch_live,,watch
1763637780478,70,watch_live,,watch
1763637785522,70,watch_live,,watch
1763637790512,68,watch_live,,watch
1763637795826,67,watch_live,,watch
1763637800480,67,watch_live,,watch
1763637805479,69,watch_live,,watch
1763637811034,72,watch_live,,watch
1763637815488,72,watch_live,,watch
1763637821029,76,watch_live,,watch
1763637825511,76,watch_live,,watch
1763637830964,70,watch_live,,watch
1763637835514,70,watch_live,,watch
1763637841034,67,watch_live,,watch
1763637845479,68,watch_live,,watch
1763637851021,72,watch_live,,watch
1763637854689,71,watch_live,,watch
1763637859795,71,watch_live,,watch
1763637915480,67,watch_live,,watch
1763637920482,65,watch_live,,watch
1763637925476,64,watch_live,,watch
1763637931037,62,watch_live,,watch
1763637935489,62,watch_live,,watch
1763637940483,70,watch_live,,watch
1763637946024,92,watch_live,,watch
1763637950469,90,watch_live,,watch
1763637955474,90,watch_live,,watch
1763637959579,85,watch_live,,watch
1763638076089,122,watch_live,,watch
1763638081037,116,watch_live,,watch
1763638085476,115,watch_live,,watch
1763638090166,113,watch_live,,watch
1763638095283,110,watch_live,,watch
1763638100394,101,watch_live,,watch
1763638105518,100,watch_live,,watch
1763638110512,101,watch_live,,watch
1763638115505,109,watch_live,,watch
1763638120501,115,watch_live,,watch
1763638125547,125,watch_live,,watch
1763638146033,108,watch_live,,watch
1763638150513,107,watch_live,,watch
1763638155506,106,watch_live,,watch
1763638160506,107,watch_live,,watch
1763638166030,106,watch_live,,watch
1763638169529,107,watch_live,,watch
1763638196032,79,watch_live,,watch
1763638200256,76,watch_live,,watch
1763638205362,74,watch_live,,watch
1763638210505,77,watch_live,,watch
1763638215503,77,watch_live,,watch
1763638220513,73,watch_live,,watch
1763638225509,73,watch_live,,watch
1763638230981,73,watch_live,,watch
1763638235480,70,watch_live,,watch
1763638241036,72,watch_live,,watch
1763638245487,70,watch_live,,watch
1763638250483,71,watch_live,,watch
1763638255466,72,watch_live,,watch
1763638261031,74,watch_live,,watch
1763638265479,75,watch_live,,watch
