ts,bpm,device
1730704523123,70,watch
1730704523123,70,watch
1730704523123,70,watch
1730704523123,70,watch
1730704523123,70,watch
1764172324468,68,Apple Watch (Apple Watch)
1764172329425,71,Apple Watch (Apple Watch)
1764172334412,72,Apple Watch (Apple Watch)
1764172338947,71,Apple Watch (Apple Watch)
1764172344407,65,Apple Watch (Apple Watch)
1764172349419,64,Apple Watch (Apple Watch)
1764172353950,64,Apple Watch (Apple Watch)
1764172359415,69,Apple Watch (Apple Watch)
1764172363120,69,Apple Watch (Apple Watch)
1764172368286,69,Apple Watch (Apple Watch)
1764172374420,69,Apple Watch (Apple Watch)
1764172378731,67,Apple Watch (Apple Watch)
1764172383980,67,Apple Watch (Apple Watch)
1764172388727,66,Apple Watch (Apple Watch)
1764172393975,67,Apple Watch (Apple Watch)
1764172398959,68,Apple Watch (Apple Watch)
1764172404429,70,Apple Watch (Apple Watch)
1764172409213,68,Apple Watch (Apple Watch)
1764172413942,68,Apple Watch (Apple Watch)
1764172418935,70,Apple Watch (Apple Watch)
1764172423959,73,Apple Watch (Apple Watch)
1764172428949,73,Apple Watch (Apple Watch)
1764172434415,70,Apple Watch (Apple Watch)
1764172438951,70,Apple Watch (Apple Watch)
1764172443949,70,Apple Watch (Apple Watch)
1764172448940,70,Apple Watch (Apple Watch)
1764172453946,74,Apple Watch (Apple Watch)
1764172458943,77,Apple Watch (Apple Watch)
1764172463067,78,Apple Watch (Apple Watch)
1764172468106,79,Apple Watch (Apple Watch)
1764172473949,78,Apple Watch (Apple Watch)
1764172478352,78,Apple Watch (Apple Watch)
1764172484413,74,Apple Watch (Apple Watch)
1764172488621,77,Apple Watch (Apple Watch)
1764172493935,78,Apple Watch (Apple Watch)
1764172498959,77,Apple Watch (Apple Watch)
1764172504412,76,Apple Watch (Apple Watch)
1764172509072,73,Apple Watch (Apple Watch)
1764172513950,71,Apple Watch (Apple Watch)
1764172518937,68,Apple Watch (Apple Watch)
1764172524415,66,Apple Watch (Apple Watch)
1764172529427,65,Apple Watch (Apple Watch)
1764172533980,65,Apple Watch (Apple Watch)
1764172539421,67,Apple Watch (Apple Watch)
1764172544063,67,Apple Watch (Apple Watch)
1764172549417,69,Apple Watch (Apple Watch)
1764172554029,67,Apple Watch (Apple Watch)
1764172559013,67,Apple Watch (Apple Watch)
1764172564410,66,Apple Watch (Apple Watch)
1764172569034,66,Apple Watch (Apple Watch)
1764172573065,67,Apple Watch (Apple Watch)
1764172578168,67,Apple Watch (Apple Watch)
1764172584437,68,Apple Watch (Apple Watch)
1764172589465,68,Apple Watch (Apple Watch)
1764172593526,68,Apple Watch (Apple Watch)
1764172603825,68,Apple Watch (Apple Watch)
1764172608900,67,Apple Watch (Apple Watch)
1764172619045,67,Apple Watch (Apple Watch)
1764172623998,70,Apple Watch (Apple Watch)
1764172629371,90,Apple Watch (Apple Watch)
1764172638945,84,Apple Watch (Apple Watch)
1764172643947,80,Apple Watch (Apple Watch)
1764172648945,75,Apple Watch (Apple Watch)
1764172653949,69,Apple Watch (Apple Watch)
1764172659496,64,Apple Watch (Apple Watch)
1764172663960,64,Apple Watch (Apple Watch)
1764172669076,65,Apple Watch (Apple Watch)
1764172674442,70,Apple Watch (Apple Watch)
1764172678059,71,Apple Watch (Apple Watch)
1764172688309,67,Apple Watch (Apple Watch)
1764172693382,67,Apple Watch (Apple Watch)
1764172703631,66,Apple Watch (Apple Watch)
1764172709642,68,Apple Watch (Apple Watch)
1764172713853,68,Apple Watch (Apple Watch)
1764172753935,79,Apple Watch (Apple Watch)
1764172789418,77,Apple Watch (Apple Watch)
1764172793208,75,Apple Watch (Apple Watch)
1764172803488,75,Apple Watch (Apple Watch)
1764172808559,75,Apple Watch (Apple Watch)
1764172818815,71,Apple Watch (Apple Watch)
1764172821409,71,Apple Watch (Apple Watch)
1764172823952,70,Apple Watch (Apple Watch)
1764172828985,67,Apple Watch (Apple Watch)
1764172835263,64,Apple Watch (Apple Watch)
1764172840398,63,Apple Watch (Apple Watch)
