ts,bpm,device
1764168361123,76,Apple Watch (Apple Watch)
1764168366124,76,Apple Watch (Apple Watch)
1764168371134,80,Apple Watch (Apple Watch)
1764168376606,78,Apple Watch (Apple Watch)
1764168381613,77,Apple Watch (Apple Watch)
1764168386605,74,Apple Watch (Apple Watch)
1764168391131,74,Apple Watch (Apple Watch)
1764168396613,74,Apple Watch (Apple Watch)
1764168401605,71,Apple Watch (Apple Watch)
1764168405362,71,Apple Watch (Apple Watch)
1764168411606,72,Apple Watch (Apple Watch)
1764168415607,70,Apple Watch (Apple Watch)
1764168420720,70,Apple Watch (Apple Watch)
1764168425854,74,Apple Watch (Apple Watch)
1764168430946,73,Apple Watch (Apple Watch)
1764168436071,75,Apple Watch (Apple Watch)
1764168441104,74,Apple Watch (Apple Watch)
1764168446284,72,Apple Watch (Apple Watch)
1764168451138,73,Apple Watch (Apple Watch)
1764168456530,72,Apple Watch (Apple Watch)
1764168461649,72,Apple Watch (Apple Watch)
1764168466766,74,Apple Watch (Apple Watch)
1764168471959,71,Apple Watch (Apple Watch)
1764168482119,77,Apple Watch (Apple Watch)
1764168488391,77,Apple Watch (Apple Watch)
1764168492349,75,Apple Watch (Apple Watch)
1764168497492,75,Apple Watch (Apple Watch)
1764168502616,73,Apple Watch (Apple Watch)
1764168507745,72,Apple Watch (Apple Watch)
1764168512769,76,Apple Watch (Apple Watch)
1764168517956,78,Apple Watch (Apple Watch)
1764168523072,76,Apple Watch (Apple Watch)
1764168527755,75,Apple Watch (Apple Watch)
1764168557762,72,Apple Watch (Apple Watch)
1764168562760,75,Apple Watch (Apple Watch)
1764168568241,75,Apple Watch (Apple Watch)
1764168572738,75,Apple Watch (Apple Watch)
1764168576838,74,Apple Watch (Apple Watch)
1764168581957,73,Apple Watch (Apple Watch)
1764168587082,73,Apple Watch (Apple Watch)
1764168593715,72,Apple Watch (Apple Watch)
1764168846739,74,Apple Watch (Apple Watch)
1764168851798,73,Apple Watch (Apple Watch)
1764168855836,71,Apple Watch (Apple Watch)
1764168860924,71,Apple Watch (Apple Watch)
1764168866078,72,Apple Watch (Apple Watch)
1764168871176,69,Apple Watch (Apple Watch)
1764168876278,69,Apple Watch (Apple Watch)
1764168881393,68,Apple Watch (Apple Watch)
1764168886522,68,Apple Watch (Apple Watch)
1764168891641,66,Apple Watch (Apple Watch)
1764168896656,66,Apple Watch (Apple Watch)
1764168901688,66,Apple Watch (Apple Watch)
1764168906998,70,Apple Watch (Apple Watch)
1764168911660,69,Apple Watch (Apple Watch)
1764168916621,69,Apple Watch (Apple Watch)
1764168921632,67,Apple Watch (Apple Watch)
1764168927161,68,Apple Watch (Apple Watch)
1764168931622,68,Apple Watch (Apple Watch)
1764168942156,76,Apple Watch (Apple Watch)
1764168947172,74,Apple Watch (Apple Watch)
1764168951634,72,Apple Watch (Apple Watch)
1764168956629,73,Apple Watch (Apple Watch)
1764168960741,76,Apple Watch (Apple Watch)
1764168967151,74,Apple Watch (Apple Watch)
1764168970988,73,Apple Watch (Apple Watch)
1764168981254,70,Apple Watch (Apple Watch)
1764168991499,68,Apple Watch (Apple Watch)
1764168996606,70,Apple Watch (Apple Watch)
1764169001622,75,Apple Watch (Apple Watch)
1764169006924,74,Apple Watch (Apple Watch)
1764169011619,73,Apple Watch (Apple Watch)
1764169016625,73,Apple Watch (Apple Watch)
1764169021616,73,Apple Watch (Apple Watch)
1764169027117,74,Apple Watch (Apple Watch)
1764169031608,75,Apple Watch (Apple Watch)
1764169037137,71,Apple Watch (Apple Watch)
1764169075978,82,Apple Watch (Apple Watch)
1764169082630,80,Apple Watch (Apple Watch)
1764169087168,77,Apple Watch (Apple Watch)
1764169092114,75,Apple Watch (Apple Watch)
1764169096422,76,Apple Watch (Apple Watch)
1764169101531,71,Apple Watch (Apple Watch)
1764169106648,71,Apple Watch (Apple Watch)
1764169111704,67,Apple Watch (Apple Watch)
1764169116889,66,Apple Watch (Apple Watch)
1764169121636,66,Apple Watch (Apple Watch)
1764169127110,67,Apple Watch (Apple Watch)
1764169131622,66,Apple Watch (Apple Watch)
1764169136672,66,Apple Watch (Apple Watch)
1764169141621,66,Apple Watch (Apple Watch)
1764169147118,64,Apple Watch (Apple Watch)
1764169152408,64,Apple Watch (Apple Watch)
1764169157435,65,Apple Watch (Apple Watch)
1764169162942,68,Apple Watch (Apple Watch)
1764169167371,68,Apple Watch (Apple Watch)
1764169172371,68,Apple Watch (Apple Watch)
1764169182372,68,Apple Watch (Apple Watch)
1764169192372,90,Apple Watch (Apple Watch)
1764169197361,89,Apple Watch (Apple Watch)
1764169202869,74,Apple Watch (Apple Watch)
1764169207913,70,Apple Watch (Apple Watch)
1764169211573,68,Apple Watch (Apple Watch)
1764169216703,67,Apple Watch (Apple Watch)
1764169222891,64,Apple Watch (Apple Watch)
1764169226916,64,Apple Watch (Apple Watch)
1764169232026,64,Apple Watch (Apple Watch)
1764169237186,63,Apple Watch (Apple Watch)
1764169242360,62,Apple Watch (Apple Watch)
1764169252361,63,Apple Watch (Apple Watch)
1764169257353,65,Apple Watch (Apple Watch)
1764169262747,66,Apple Watch (Apple Watch)
1764169267375,66,Apple Watch (Apple Watch)
1764169277884,66,Apple Watch (Apple Watch)
1764169282368,66,Apple Watch (Apple Watch)
1764169287372,72,Apple Watch (Apple Watch)
1764169292371,72,Apple Watch (Apple Watch)
1764169297387,73,Apple Watch (Apple Watch)
1764169317917,89,Apple Watch (Apple Watch)
1764169321573,90,Apple Watch (Apple Watch)
1764169327915,88,Apple Watch (Apple Watch)
1764169332372,87,Apple Watch (Apple Watch)
1764169336931,88,Apple Watch (Apple Watch)
1764169342063,88,Apple Watch (Apple Watch)
1764169352313,88,Apple Watch (Apple Watch)
1764169357336,87,Apple Watch (Apple Watch)
1764169367670,87,Apple Watch (Apple Watch)
1764169372372,86,Apple Watch (Apple Watch)
1764169377327,96,Apple Watch (Apple Watch)
1764169382904,94,Apple Watch (Apple Watch)
1764169387330,93,Apple Watch (Apple Watch)
1764169392342,83,Apple Watch (Apple Watch)
1764169397919,89,Apple Watch (Apple Watch)
1764169402911,84,Apple Watch (Apple Watch)
1764169448622,80,Apple Watch (Apple Watch)
1764169453607,79,Apple Watch (Apple Watch)
1764169458606,79,Apple Watch (Apple Watch)
1764169464190,79,Apple Watch (Apple Watch)
1764169468617,80,Apple Watch (Apple Watch)
1764169472614,83,Apple Watch (Apple Watch)
1764169477753,81,Apple Watch (Apple Watch)
1764169484161,84,Apple Watch (Apple Watch)
1764169489163,84,Apple Watch (Apple Watch)
1764169493813,85,Apple Watch (Apple Watch)
1764169498279,85,Apple Watch (Apple Watch)
1764169503635,85,Apple Watch (Apple Watch)
1764169508603,83,Apple Watch (Apple Watch)
1764169513593,82,Apple Watch (Apple Watch)
1764169518614,82,Apple Watch (Apple Watch)
1764169523592,83,Apple Watch (Apple Watch)
1764169528577,84,Apple Watch (Apple Watch)
1764169534063,85,Apple Watch (Apple Watch)
1764169538682,85,Apple Watch (Apple Watch)
1764169544148,84,Apple Watch (Apple Watch)
1764169549170,83,Apple Watch (Apple Watch)
1764169553426,83,Apple Watch (Apple Watch)
1764169558586,86,Apple Watch (Apple Watch)
1764169564172,90,Apple Watch (Apple Watch)
1764169568626,89,Apple Watch (Apple Watch)
1764169573599,89,Apple Watch (Apple Watch)
1764169578593,90,Apple Watch (Apple Watch)
1764169582705,91,Apple Watch (Apple Watch)
1764169592906,89,Apple Watch (Apple Watch)
1764169603152,94,Apple Watch (Apple Watch)
1764169613432,96,Apple Watch (Apple Watch)
1764169623575,90,Apple Watch (Apple Watch)
1764169628576,88,Apple Watch (Apple Watch)
1764169638594,89,Apple Watch (Apple Watch)
1764169644145,89,Apple Watch (Apple Watch)
1764169648573,89,Apple Watch (Apple Watch)
1764169653596,89,Apple Watch (Apple Watch)
1764169658582,89,Apple Watch (Apple Watch)
1764169669078,87,Apple Watch (Apple Watch)
1764169673582,87,Apple Watch (Apple Watch)
1764169678583,83,Apple Watch (Apple Watch)
1764169682587,83,Apple Watch (Apple Watch)
